IP; Port; Location; MS; Proxy type; Safety
89.218.170.54; 35704; Kazakstan Atyrau; 5060 ms; HTTP; Alta
207.191.165.8; 8080; Argentina Rivadavia; 5040 ms; HTTP; Media
3.106.124.136; 80; Australia Sydney; 5100 ms; HTTP; Alta
200.115.53.225; 3128; Argentina Laborde; 3300 ms; HTTP; no
46.223.255.2; 8080; Germany Aalen; 3320 ms; HTTP; Alta
36.94.142.163; 8000; Indonesia; 3460 ms; HTTP; no
210.212.227.70; 3128; India Puducherry; 600 ms; HTTP; no
185.198.188.52; 8080; United Kingdom London; 3400 ms; HTTP; Media
200.116.226.210; 43049; Colombia Barranquilla; 1020 ms; HTTP; Alta
85.173.165.36; 46330; Russian Federation Cherkessk; 3260 ms; HTTP; Alta
138.0.207.18; 38328; Brazil Santo Antonio do Aracangua; 2280 ms; SOCKS4; Alta
103.232.33.52; 5678; Indonesia Jakarta; 2120 ms; SOCKS4; Alta
203.150.113.179; 14153; Thailand Bangkok; 1020 ms; SOCKS4; Alta
45.224.197.137; 4145; Brazil Brasília; 1260 ms; SOCKS4; Alta
91.219.88.121; 47334; Russian Federation Kaz; 400 ms; SOCKS4; Alta
197.210.155.158; 59341; Nigeria Lagos; 1460 ms; SOCKS4; Alta
213.87.197.25; 3629; Russian Federation Uchaly; 3220 ms; SOCKS4; Alta
203.209.190.202; 4153; Indonesia; 2300 ms; SOCKS4; Alta
49.231.0.178; 55860; Thailand; 4200 ms; SOCKS4; Alta
220.247.174.234; 44061; Indonesia Depok; 1160 ms; SOCKS4; Alta
181.112.229.210; 40704; Ecuador; 1140 ms; SOCKS4; Alta
213.14.31.122; 35314; Turkey Istanbul; 3480 ms; SOCKS4; Alta
180.210.222.133; 1080; Bangladesh Dhaka; 2200 ms; SOCKS4; Alta
103.251.222.49; 4145; India Lucknow; 1200 ms; SOCKS4; Alta
5.102.58.41; 5678; Czech Republic Horovice; 620 ms; SOCKS4; Alta
195.9.89.68; 3629; Russian Federation Moscow; 3100 ms; SOCKS4; Alta
212.115.232.79; 10800; Ukraine Dnipropetrovsk; 3300 ms; SOCKS4; Alta
1.0.132.165; 4153; Thailand Sing Buri; 3140 ms; SOCKS4; Alta
87.103.175.22; 1080; Russian Federation Irkutsk; 420 ms; SOCKS4; Alta
178.19.247.25; 41624; Russian Federation Petrozavodsk; 160 ms; SOCKS4; Alta
213.136.88.55; 80; Germany Nuremberg; 260 ms; HTTP; Alta
72.195.34.58; 4145; United States; 4000 ms; SOCKS4, SOCKS5; Alta
103.220.207.242; 1080; Bangladesh Dhaka; 1260 ms; SOCKS4; Alta
80.71.112.103; 55243; Iran Tehran; 1780 ms; SOCKS4; Alta
192.111.137.35; 4145; United States; 1000 ms; SOCKS4, SOCKS5; Alta
43.248.24.158; 41705; Indonesia; 1580 ms; SOCKS4; Alta
81.12.119.164; 8080; Iran; 4280 ms; HTTP; Alta
197.242.206.64; 54553; South Africa Cape Town; 2280 ms; SOCKS4; Alta
191.98.181.218; 52025; Peru Lima; 1160 ms; SOCKS4; Alta
91.92.78.248; 4145; Bulgaria Plovdiv; 400 ms; SOCKS4; Alta
181.209.74.234; 4153; Argentina Benavidez; 1400 ms; SOCKS4; Alta
150.107.103.64; 4145; India Rajkot; 1040 ms; SOCKS4; Alta
82.147.44.131; 4153; Norway Tretten; 220 ms; SOCKS4; Alta
117.102.104.44; 4145; Indonesia; 1180 ms; SOCKS4; Alta
217.21.124.194; 4145; Kenya; 1100 ms; SOCKS4; Alta
5.182.26.126; 4145; Uzbekistan Tashkent; 300 ms; SOCKS4; Alta
45.71.160.114; 1080; Brazil São Paulo; 1200 ms; SOCKS4; Alta
194.85.124.150; 4153; Russian Federation; 220 ms; SOCKS4; Alta
46.33.253.29; 58540; Ukraine Mykolayiv; 160 ms; SOCKS4; Alta
191.96.42.80; 1080; United States Chicago; 1020 ms; SOCKS5; Alta
183.182.101.32; 44267; Lao People's Democratic Republic Vientiane; 4400 ms; SOCKS4; Alta
118.175.93.112; 46873; Thailand; 4060 ms; SOCKS4; Alta
95.86.32.4; 59341; Macedonia Resen; 3420 ms; SOCKS4; Alta
118.175.93.25; 52026; Thailand Sattahip; 2860 ms; SOCKS4; Alta
178.216.2.229; 1488; Ukraine Kharkiv; 3200 ms; SOCKS4; Alta
82.147.153.2; 4153; Bulgaria; 500 ms; SOCKS4; Alta
206.189.158.28; 7476; Singapore; 5100 ms; SOCKS5; Alta
103.95.40.21; 4145; Indonesia Jakarta; 4100 ms; SOCKS4; Alta
183.88.219.206; 34676; Thailand Bangkok; 1020 ms; SOCKS4; Alta
138.0.102.246; 31533; Brazil Poços de Caldas; 2060 ms; SOCKS4; Alta
177.87.230.1; 43573; Brazil Concordia; 1300 ms; SOCKS4; Alta
178.212.64.52; 49137; Ukraine; 1300 ms; SOCKS4; Alta
1.4.198.4; 4145; Thailand Bangkok; 1920 ms; SOCKS4; Alta
45.163.200.9; 4145; Brazil; 4280 ms; SOCKS4; Alta
